=================================
=  Denmark

Anders Hagelskjærv,           D,  1.92 m,  b. 16 Feb 1997 @ Herning
Sebastian Grønning,           F,  1.88 m,  b. 3 Feb 1997 @ Aalborg
Stefan Gartenmann,            D,  1.85 m,  b. 2 Feb 1997 @ Roskilde
Rasmus Thellufsen,            M,  1.85 m,  b. 9 Jan 1997 @ Sæby

Jens Stage,                   M,  1.87 m,  b. 8 Nov 1996 @ Aarhus
Magnus Jensen,                D,  1.95 m,  b. 27 Oct 1996 @ Kolding
Sebastian Koch,               F,  1.86 m,  b. 11 Oct 1996
Benjamin Schubert,            G,  1.84 m,  b. 22 Sep 1996
Nicolai Vallys,               M,  1.89 m,  b. 4 Sep 1996 @ Copenhagen
Mads Pedersen,                D,  1.78 m,  b. 1 Sep 1996 @ Hørsholm
Adrian Kappenberger,          G,  1.94 m,  b. 25 Aug 1996 @ Nærum
Mads Kaalund,                 M,  1.82 m,  b. 16 Aug 1996 @ Copenhagen
Tobias Mølgaard,              D,  1.82 m,  b. 22 Jul 1996 @ Gudum
Jonas Bager,                  D,  1.81 m,  b. 18 Jul 1996 @ Hadsten
Frederik Brandhof,            M,  1.82 m,  b. 5 Jul 1996 @ Skive
Marco Lund,                   D,  1.83 m,  b. 30 Jun 1996 @ Ansager
Jens Thomasen,                M,  1.81 m,  b. 25 Jun 1996 @ Sanderum
Philip Billing,               M,  1.93 m,  b. 11 Jun 1996 @ Copenhagen
Oliver Abildgaard,            M,  1.75 m,  b. 10 Jun 1996 @ Hasseris
Asger Sørensen,               D,  1.91 m,  b. 5 Jun 1996 @ Silkeborg
Joachim Andersen,             D,  1.92 m,  b. 31 May 1996 @ Frederiksberg
Robert Skov,                  F,  1.85 m,  b. 20 May 1996 @ Silkeborg
Andreas Christensen,          D,  1.88 m,  b. 10 Apr 1996 @ Allerød
Jannik Pohl,                  F,  1.83 m,  b. 6 Apr 1996 @ Hjørring
Philip Rejnhold,              D,  1.77 m,  b. 21 Mar 1996 @ Copenhagen
Marcus Mathisen,              D|M,1.85 m,  b. 27 Feb 1996 @ Albertslund
Rasmus Lauritsen,             D,  1.87 m,  b. 27 Feb 1996 @ Brande
Ken Gipson,                   D,  1.78 m,  b. 24 Feb 1996 @ Ludwigsburg
Mathias Haarup,               D,  1.78 m,  b. 10 Feb 1996 @ Havndal
Jonas Gemmer,                 M,  1.83 m,  b. 31 Jan 1996
Gustav Dahl,                  M,  1.81 m,  b. 21 Jan 1996 @ Silkeborg
