=================================
=  Ireland

Gavin Molloy,                 M,  - ,      b. 19 Oct 2001
Lewis Richards,               D,  1.82 m,  b. 15 Oct 2001 @ Liverpool
Shane Flynn,                  D|M,- ,      b. 14 Oct 2001 @ Dublin
Sean O'Brien,                 F,  - ,      b. 13 Oct 2001
Tyreik Wright,                M,  1.79 m,  b. 22 Sep 2001 @ Cork
Donal Higgins,                F,  - ,      b. 10 Sep 2001
Joel Bagan,                   D,  1.93 m,  b. 3 Sep 2001 @ Basingstoke
Jack Moylan,                  M,  1.73 m,  b. 1 Sep 2001 @ Dublin
Harry McEvoy,                 D,  1.86 m,  b. 16 Aug 2001 @ Wandsworth
Conor Grant,                  M,  1.85 m,  b. 23 Jul 2001 @ Dublin
Caolan McLaughlin,            F,  - ,      b. 12 Jul 2001
Jamie Bowden,                 M,  1.75 m,  b. 9 Jul 2001 @ Edmonton
Sean Brennan,                 M,  1.80 m,  b. 5 Jul 2001 @ Blanchardstown
Ray O'Sullivan,               D,  1.84 m,  b. 3 Jul 2001 @ Dublin
Alex Phelan,                  F,  1.80 m,  b. 20 Jun 2001 @ Waterford
Louie Watson,                 M,  1.76 m,  b. 7 Jun 2001 @ Croydon
Max Murphy,                   M,  1.80 m,  b. 2 Jun 2001 @ Dublin
Mark McFadden,                M,  - ,      b. 29 May 2001
Jake O'Brien,                 D,  1.97 m,  b. 15 May 2001 @ Cork
Ronan Boyce,                  D,  1.80 m,  b. 12 May 2001 @ Letterkenny
Adam O'Reilly,                M,  1.68 m,  b. 11 May 2001 @ Cork
Brendan Barr,                 M,  - ,      b. 5 May 2001
Nathan Collins,               D,  1.96 m,  b. 30 Apr 2001 @ Leixlip
Niall O'Keeffe,               D,  1.75 m,  b. 30 Apr 2001 @ Waterford
Ciaran Behan,                 M,  - ,      b. 28 Apr 2001
Dave Samson,                  F,  - ,      b. 28 Apr 2001
Callum Thompson,              M,  1.77 m,  b. 20 Apr 2001 @ Dublin
Ed McCarthy,                  M,  - ,      b. 20 Apr 2001 @ Limerick
Luca Connell,                 M,  1.78 m,  b. 20 Apr 2001 @ Liverpool
Kameron Ledwidge,             D,  1.80 m,  b. 7 Apr 2001 @ Dublin
Adam Alimi-Adetoro,           D,  - ,      b. 3 Apr 2001
Josh Honohan,                 D,  1.78 m,  b. 28 Mar 2001 @ Cork
Barry Coffey,                 M,  1.73 m,  b. 27 Mar 2001 @ Nenagh
David Odumosu,                G,  1.94 m,  b. 23 Mar 2001 @ Dundalk
Callum Warfield,              F,  - ,      b. 20 Mar 2001
Marc Walsh,                   F,  1.69 m,  b. 15 Mar 2001 @ Letterkenny
Ross Tierney,                 M,  1.74 m,  b. 6 Mar 2001 @ Dublin
Ryan Cassidy,                 F,  1.73 m,  b. 2 Mar 2001 @ Dublin
Darragh Nugent,               M,  1.83 m,  b. 1 Mar 2001 @ Dublin
Aaron McCabe,                 F,  - ,      b. 23 Feb 2001 @ Cavan
Charles Mutawe,               D,  1.84 m,  b. 18 Feb 2001 @ Dublin
Colm Cox,                     G,  1.87 m,  b. 13 Feb 2001 @ Ashbourne
Jason Knight,                 M,  1.73 m,  b. 13 Feb 2001 @ Dublin
Adam Idah,                    F,  1.90 m,  b. 11 Feb 2001 @ Cork
Thomas Oluwa,                 F,  1.79 m,  b. 8 Feb 2001 @ Dublin
Nathan Logue,                 M,  - ,      b. 4 Feb 2001
James Clarke,                 M,  1.72 m,  b. 28 Jan 2001 @ Dublin
Joel Bradley-Walsh,           D,  - ,      b. 26 Jan 2001
Jordan McEneff,               M,  1.83 m,  b. 8 Jan 2001 @ Derry
Mark McGuinness,              D,  1.94 m,  b. 5 Jan 2001 @ Slough
Oisin McEntee,                D,  1.92 m,  b. 5 Jan 2001 @ New York
Jake Cooper,                  D,  1.84 m,  b. 2 Jan 2001 @ Burnley
Conor Noß,                    M,  1.81 m,  b. 1 Jan 2001 @ Düsseldorf

Ryan O'Shea,                  D,  - ,      b. 31 Dec 2000
Darragh Power,                D,  1.79 m,  b. 29 Dec 2000 @ Waterford
Wilson Waweru,                F,  1.86 m,  b. 27 Dec 2000
Conor Drinan,                 F,  - ,      b. 23 Dec 2000 @ Cork
Joshua Kayode,                F,  1.91 m,  b. 14 Dec 2000 @ Lagos
Will Ferry,                   M|F,1.75 m,  b. 7 Dec 2000 @ Wigan
Ryan Burke,                   D,  1.77 m,  b. 23 Nov 2000 @ Dublin
Brian Maher,                  G,  1.85 m,  b. 1 Nov 2000 @ Dublin
Harvey O'Brien,               D,  1.92 m,  b. 31 Oct 2000 @ Claremorris
Daniel Grant,                 F,  1.73 m,  b. 23 Oct 2000 @ Dublin
Cian Bargary,                 F,  1.78 m,  b. 22 Oct 2000 @ Tipperary
Darren Collins,               F,  1.73 m,  b. 29 Sep 2000 @ Castlebar
Brandon Kavanagh,             M,  1.72 m,  b. 21 Sep 2000 @ Dublin
Niall McGinley,               M,  1.80 m,  b. 17 Sep 2000 @ Strabane
Finn Azaz,                    M,  1.85 m,  b. 7 Sep 2000 @ Westminster
Aaron McNally,                D,  - ,      b. 31 Aug 2000
Jordan Doherty,               D,  1.81 m,  b. 29 Aug 2000 @ Dublin
Mark Byrne,                   G|M,- ,      b. 12 Aug 2000
Andy Lyons,                   D,  1.73 m,  b. 2 Aug 2000 @ Naas
Lee O'Connor,                 D,  1.85 m,  b. 28 Jul 2000 @ Waterford
Michael Gallagher,            D,  - ,      b. 9 Jul 2000
Jaze Kabia,                   F,  1.75 m,  b. 8 Jul 2000 @ Cork
Michael Obafemi,              F,  1.69 m,  b. 6 Jul 2000 @ Dublin
Kevin Healy,                  D,  - ,      b. 3 Jul 2000
Francely Lomboto,             F,  1.80 m,  b. 2 Jul 2000 @ Galway
Jordan Adeyemo,               F,  - ,      b. 2 Jul 2000
David Harrington,             G,  1.84 m,  b. 1 Jul 2000 @ Cork
Colm Whelan,                  F,  1.80 m,  b. 29 Jun 2000 @ Kilkenny
Shane Farrell,                M,  1.77 m,  b. 26 Jun 2000 @ Dublin
Stephen Doherty,              M,  1.76 m,  b. 22 Jun 2000 @ Letterkenny
Cian Murphy,                  F,  1.86 m,  b. 8 Jun 2000 @ Tipperary
Niall Morahan,                M,  1.76 m,  b. 30 May 2000 @ Sligo
Alex Hunt,                    M,  1.73 m,  b. 29 May 2000 @ Sheffield
Lorcan Healy,                 G,  1.95 m,  b. 23 May 2000 @ Haywards Heath
Liam Kerrigan,                M,  1.71 m,  b. 9 May 2000 @ Sligo
Ciaran Brennan,               D,  1.89 m,  b. 5 May 2000 @ Kilkenny
Scott Lynch,                  D,  1.70 m,  b. 21 Apr 2000 @ Sligo
Conor Coventry,               M,  1.75 m,  b. 20 Mar 2000 @ Waltham Forest
Ben Wells,                    D,  1.85 m,  b. 29 Feb 2000 @ Romford
Will Smallbone,               M,  1.73 m,  b. 21 Feb 2000 @ Basingstoke
Darragh Cowley,               F,  - ,      b. 20 Feb 2000
Dean Williams,                F,  1.73 m,  b. 9 Feb 2000 @ Dublin
Ciéran Dunne,                 M,  1.79 m,  b. 8 Feb 2000 @ Falkirk
Millenic Alli,                F,  1.76 m,  b. 6 Feb 2000 @ Dublin
Aaron Bolger,                 M,  1.70 m,  b. 2 Feb 2000 @ Dublin
Gavin Kilkenny,               M,  1.70 m,  b. 1 Feb 2000 @ Dublin
Aaron Connolly,               F,  1.80 m,  b. 28 Jan 2000 @ Galway
Joe Redmond,                  D,  1.83 m,  b. 23 Jan 2000 @ Dublin
Ali Reghba,                   F,  1.80 m,  b. 14 Jan 2000 @ Essen
Jonathan Afolabi,             F,  1.76 m,  b. 14 Jan 2000 @ Dublin
Luke McNicholas,              G,  1.82 m,  b. 1 Jan 2000 @ Castlebar

Shane Griffin,                M,  1.73 m,  b. 31 Dec 1999 @ Waterford
Corrie Ndaba,                 D,  1.88 m,  b. 25 Dec 1999 @ Dublin
Dan McKenna,                  M,  1.78 m,  b. 12 Dec 1999 @ Dublin
Anthony Scully,               M,  1.69 m,  b. 3 Dec 1999 @ Watford
Tyreke Wilson,                D,  1.72 m,  b. 2 Dec 1999 @ Dublin
John Mahon,                   D,  1.85 m,  b. 26 Nov 1999 @ Sligo
Karl O'Sullivan,              F,  1.75 m,  b. 31 Oct 1999 @ Limerick
Luke McNally,                 D,  1.93 m,  b. 20 Sep 1999 @ Enfield
Kian Flanagan,                M,  - ,      b. 29 Aug 1999 @ Paddington
Jayson Molumby,               M,  1.78 m,  b. 6 Aug 1999 @ Waterford
Darragh O'Connor,             D,  1.89 m,  b. 5 Aug 1999 @ Clonroche
Edward McGinty,               G,  1.92 m,  b. 5 Aug 1999 @ Motherwell
