=================================
=  Serbia

Matija Popović,               M,  1.93 m,  b. 8 Jan 2006 @ Altötting
Jovan Stojanović,             M,  1.87 m,  b. 21 Apr 1992 @ Belgrade
Nikola Trujić,                F,  1.82 m,  b. 14 Apr 1992 @ Bor
Aleksandar Pantić,            D,  1.84 m,  b. 11 Apr 1992 @ Arandjelovac
Milan Rundić,                 D,  1.86 m,  b. 29 Mar 1992 @ Belgrade
Miloš Jojić,                  M,  1.77 m,  b. 19 Mar 1992 @ Stara Pazova
Djordje Despotović,           F,  1.88 m,  b. 4 Mar 1992 @ Donja Borina
Darko Brašanac,               M,  1.78 m,  b. 12 Feb 1992 @ Čajetina
Filip Djuričić,               M,  1.76 m,  b. 30 Jan 1992 @ Obrenovac
Marko Dmitrović,              G,  1.94 m,  b. 24 Jan 1992 @ Subotica

Bojan Matić,                  F,  1.91 m,  b. 22 Dec 1991 @ Zrenjanin
Aleksandar Sedlar,            D,  1.78 m,  b. 13 Dec 1991 @ Novi Sad
Nikola Maksimović,            D,  1.93 m,  b. 25 Nov 1991 @ Bajina Bašta
Nemanja Gudelj,               D|M,1.77 m,  b. 16 Nov 1991 @ Belgrade
Aleksandar Tanasin,           D,  1.76 m,  b. 15 Nov 1991 @ Novi Sad
Ognjen Mudrinski,             F,  1.78 m,  b. 15 Nov 1991 @ Novi Sad
Adem Ljajić,                  M|F,1.81 m,  b. 29 Sep 1991 @ Novi Pazar
Marko Vešović,                D,  1.77 m,  b. 28 Aug 1991 @ Podgorica
Filip Mladenović,             D,  1.80 m,  b. 15 Aug 1991 @ Čačak
Nemanja Miletić,              D,  1.82 m,  b. 26 Jul 1991 @ Loznica
Nikola Mirković,              G,  1.92 m,  b. 26 Jul 1991 @ Kruševac
Vladimir Golemić,             D,  1.92 m,  b. 28 Jun 1991 @ Kruševac
Marko Šćepović,               F,  1.90 m,  b. 23 May 1991 @ Belgrade
Danijel Aleksić,              M|F,1.82 m,  b. 30 Apr 1991 @ Pula
Luka Milivojević,             M,  1.83 m,  b. 7 Apr 1991 @ Kragujevac
Milan Rodić,                  D,  1.83 m,  b. 2 Apr 1991 @ Belgrade
Marko Milošević,              G,  1.87 m,  b. 7 Feb 1991 @ Belgrade
Aleksandar Ignjovski,         D|M,1.75 m,  b. 27 Jan 1991 @ Belgrade

Branimir Aleksić,             G,  1.87 m,  b. 24 Dec 1990 @ Subotica
Vukadin Vukadinović,          F,  1.91 m,  b. 14 Dec 1990 @ Belgrade
Miroslav Bjeloš,              M,  1.77 m,  b. 29 Oct 1990 @ Novi Sad
Slobodan Medojević,           M,  1.75 m,  b. 20 Oct 1990 @ Novi Sad
Dušan Jovančić,               M,  1.86 m,  b. 19 Oct 1990 @ Belgrade
Darko Lazović,                M,  1.81 m,  b. 15 Sep 1990 @ Čačak
Nenad Krstičić,               M,  1.82 m,  b. 3 Jul 1990 @ Belgrade
Petar Škuletić,               F,  1.89 m,  b. 29 Jun 1990 @ Nikšić
Miloš Stamenković,            D,  1.86 m,  b. 1 Jun 1990 @ Belgrade
Miloš Kosanović,              D,  1.91 m,  b. 28 May 1990 @ Čonoplja
Uroš Matić,                   M,  1.84 m,  b. 23 May 1990 @ Šabac
Stefan Mitrović,              D,  1.89 m,  b. 22 May 1990 @ Belgrade
Zoran Gajić,                  D,  1.86 m,  b. 18 May 1990 @ Belgrade
Vaso Vasić,                   G,  1.86 m,  b. 26 Apr 1990 @ Leuggern
Aleksandar Prijović,          F,  1.90 m,  b. 21 Apr 1990 @ St Gallen
Stefan Šćepović,              F,  1.86 m,  b. 10 Jan 1990 @ Belgrade

Budimir Janošević,            G,  1.90 m,  b. 21 Oct 1989 @ Belgrade
Dejan Sorgić,                 F,  1.77 m,  b. 15 Sep 1989 @ Zug
Ivan Ostojić,                 D,  1.90 m,  b. 26 Jun 1989 @ Pančevo
Branko Pauljević,             D,  1.80 m,  b. 12 Jun 1989 @ Kusići
Norbert Könyves,              F,  1.86 m,  b. 10 Jun 1989 @ Bačka Palanka
Nemanja Milunović,            D,  1.93 m,  b. 31 May 1989 @ Čačak
Nemanja Kuzmanović,           M,  1.80 m,  b. 27 May 1989 @ Plav
Slobodan Simović,             M,  1.90 m,  b. 22 May 1989 @ Čačak
Živko Živković,               G,  1.93 m,  b. 14 Apr 1989 @ Užice
Andreja Prokić,               M,  1.78 m,  b. 9 Apr 1989 @ Kragujevac
