=================================
=  France

Amine Salama,                 F,  1.92 m,  b. 18 Jul 2000 @ Paris
Pierre Kalulu,                D,  1.79 m,  b. 5 Jul 2000 @ Saint-Priest
Lorenz Assignon,              D,  1.81 m,  b. 22 Jun 2000 @ Grasse
Valentin Gendrey,             D,  1.79 m,  b. 21 Jun 2000 @ La Garenne-Colombes
Sofiane Diop,                 M,  1.75 m,  b. 9 Jun 2000 @ Tours
Hakim Guenouche,              D,  1.68 m,  b. 30 May 2000 @ Nancy
Mohamed Simakan,              D,  1.87 m,  b. 3 May 2000 @ Marseille
Warmed Omari,                 D,  1.85 m,  b. 23 Apr 2000 @ Bandraboua
Loïc Badé,                    D,  1.91 m,  b. 11 Apr 2000 @ Sèvres
Maxence Lacroix,              D,  1.90 m,  b. 6 Apr 2000 @ Villeneuve-Saint-Georges
Giulian Biancone,             D,  1.87 m,  b. 31 Mar 2000 @ Fréjus
Billal Brahimi,               F,  1.83 m,  b. 14 Mar 2000 @ Paris
Nathan Ngoumou,               M,  1.82 m,  b. 14 Mar 2000 @ Toulouse
Andy Pelmard,                 D,  1.79 m,  b. 12 Mar 2000 @ Nice
Amine Gouiri,                 F,  1.80 m,  b. 16 Feb 2000 @ Bourgoin-Jallieu
Maxence Caqueret,             M,  1.74 m,  b. 15 Feb 2000 @ Vénissieux
Léo Leroy,                    M,  1.85 m,  b. 14 Feb 2000 @ Marseille
Dominique Youfeigane,         G,  1.88 m,  b. 7 Feb 2000 @ Saint-Maurice
Oumar Solet,                  D,  1.92 m,  b. 7 Feb 2000 @ Melun
Enzo Le Fée,                  M,  1.70 m,  b. 3 Feb 2000 @ Lorient
Aurélien Tchouaméni,          M,  1.85 m,  b. 27 Jan 2000 @ Rouen

Jean-Clair Todibo,            D,  1.90 m,  b. 30 Dec 1999 @ Cayenne
Hianga'a M'Bock,              M,  1.86 m,  b. 28 Dec 1999 @ Brest
Sofian Bahloul,               F,  1.78 m,  b. 16 Dec 1999 @ Nantes
Boubacar Kamara,              D,  1.78 m,  b. 23 Nov 1999 @ Marseille
Yehvann Diouf,                G,  1.85 m,  b. 16 Nov 1999 @ Montreuil
