=================================
=  Germany

Matteo Palma,                 D,  1.94 m,  b. 13 Mar 2008 @ Berlin
Florian Pick,                 M,  1.76 m,  b. 8 Sep 1995 @ Wittlich
Julian Weigl,                 M,  1.86 m,  b. 8 Sep 1995 @ Bad Aibling
Raphael Framberger,           D,  1.79 m,  b. 6 Sep 1995 @ Augsburg
Niklas Süle,                  D,  1.94 m,  b. 3 Sep 1995 @ Frankfurt am Main
Tim Kleindienst,              F,  1.94 m,  b. 31 Aug 1995 @ Jüterbog
Maximilian Wittek,            D,  1.70 m,  b. 21 Aug 1995 @ Freising
Mike-Steven Bähre,            M,  1.77 m,  b. 10 Aug 1995 @ Garbsen
Serge Gnabry,                 M,  1.73 m,  b. 14 Jul 1995 @ Stuttgart
Michael Zetterer,             G,  1.87 m,  b. 12 Jul 1995 @ Munich
Alexander Brunst-Zöllner,     G,  1.95 m,  b. 7 Jul 1995 @ Neumünster
Marius Wolf,                  F,  1.87 m,  b. 27 May 1995 @ Coburg
Marvin Schwäbe,               G,  1.90 m,  b. 25 Apr 1995 @ Dieburg
Kevin Akpoguma,               D,  1.90 m,  b. 19 Apr 1995 @ Neustadt an der Weinstraße
Niklas Stark,                 D,  1.88 m,  b. 14 Apr 1995 @ Neustadt an der Aisch
Gerrit Holtmann,              F,  1.83 m,  b. 25 Mar 1995 @ Bremen
Fabian Bredlow,               G,  1.91 m,  b. 2 Mar 1995 @ Berlin
Joshua Kimmich,               M,  1.76 m,  b. 8 Feb 1995 @ Rottweil
Leon Goretzka,                M,  1.89 m,  b. 6 Feb 1995 @ Bochum
Philipp Förster,              M,  1.90 m,  b. 4 Feb 1995 @ Bretten
Davie Selke,                  F,  1.92 m,  b. 20 Jan 1995 @ Schorndorf
Grischa Prömel,               M,  1.82 m,  b. 9 Jan 1995 @ Stuttgart

Marnon Busch,                 D,  1.82 m,  b. 8 Dec 1994 @ Stade
Benno Schmitz,                D,  1.82 m,  b. 17 Nov 1994 @ Munich
Patrick Mainka,               D,  1.92 m,  b. 6 Nov 1994 @ Gütersloh
Robin Zentner,                G,  1.93 m,  b. 28 Oct 1994 @ Rüdesheim
Christopher Lenz,             D,  1.80 m,  b. 22 Sep 1994 @ Berlin
Robert Andrich,               M,  1.85 m,  b. 22 Sep 1994 @ Potsdam
Koray Günter,                 D,  1.84 m,  b. 16 Aug 1994 @ Höxter
Jeremy Toljan,                D,  1.82 m,  b. 8 Aug 1994 @ Stuttgart
Lucas Höler,                  F,  1.84 m,  b. 10 Jul 1994 @ Achim
Robin Gosens,                 D,  1.83 m,  b. 5 Jul 1994 @ Emmerich
Maximilian Arnold,            M,  1.83 m,  b. 27 May 1994 @ Riesa
Stefan Schimmer,              F,  1.85 m,  b. 28 Apr 1994 @ Wertingen
Mitchell Weiser,              D,  1.76 m,  b. 21 Apr 1994 @ Troisdorf
