=================================
=  Switzerland

David von Ballmoos,           G,  1.92 m,  b. 30 Dec 1994 @ Langnau
Gregory Wüthrich,             D,  1.92 m,  b. 4 Dec 1994 @ Bern
Chris Kablan,                 D,  1.76 m,  b. 30 Nov 1994 @ Luzern
Nicolas Lüchinger,            D,  1.73 m,  b. 16 Oct 1994 @ Oberriet
Michael Frey,                 F,  1.88 m,  b. 19 Jul 1994 @ Münsingen
Haris Tabaković,              F,  1.94 m,  b. 20 Jun 1994 @ Grenchen
Yvon Mvogo,                   G,  1.86 m,  b. 6 Jun 1994 @ Fribourg
Basil Stillhart,              M,  1.78 m,  b. 24 Mar 1994 @ Wil
Levent Gülen,                 D,  1.80 m,  b. 24 Feb 1994 @ Zürich
Cédric Brunner,               D,  1.81 m,  b. 17 Feb 1994 @ Männedorf
Mirko Salvi,                  G,  1.88 m,  b. 14 Feb 1994 @ Yverdon
Martin Angha,                 D,  1.88 m,  b. 22 Jan 1994 @ Zürich
Musa Araz,                    M,  1.68 m,  b. 17 Jan 1994 @ Fribourg
Jonas Omlin,                  G,  1.89 m,  b. 10 Jan 1994 @ Sarnen
Thibault Corbaz,              M,  1.77 m,  b. 7 Jan 1994 @ Morges

Christian Fassnacht,          F,  1.85 m,  b. 11 Nov 1993 @ Zürich
Thomas Castella,              G,  1.85 m,  b. 30 Jun 1993 @ Fribourg
Yanick Brecher,               G,  1.94 m,  b. 25 May 1993 @ Zürich
Francesco Ruberto,            G,  1.84 m,  b. 19 Mar 1993 @ Lecce
Jérémy Frick,                 G,  1.92 m,  b. 8 Mar 1993 @ Geneva
Silvan Widmer,                D,  1.83 m,  b. 5 Mar 1993 @ Aarau
Dany Da Silva,                G,  1.88 m,  b. 2 Mar 1993 @ Lausanne
Darko Jevtić,                 M,  1.77 m,  b. 8 Feb 1993 @ Basel

Raphael Spiegel,              G,  1.97 m,  b. 19 Dec 1992 @ Rüttenen
Granit Xhaka,                 M,  1.83 m,  b. 27 Sep 1992 @ Gnjilane
Roman Buess,                  F,  1.82 m,  b. 21 Sep 1992 @ Muttenz
Ricardo Rodríguez,            D,  1.80 m,  b. 25 Aug 1992 @ Zürich
Josip Drmić,                  F,  1.82 m,  b. 8 Aug 1992 @ Lachen
Pajtim Kasami,                M,  1.87 m,  b. 2 Jun 1992 @ Struga
Remo Freuler,                 M,  1.80 m,  b. 15 Apr 1992 @ Ennenda
Živko Kostadinović,           G,  1.96 m,  b. 10 Apr 1992 @ Modriča
Haris Seferovic,              F,  1.85 m,  b. 22 Feb 1992 @ Sursee
Saulo Decarli,                D,  1.86 m,  b. 4 Feb 1992 @ Brione sopra Minusio
Benjamin Siegrist,            G,  1.94 m,  b. 31 Jan 1992 @ Basel
Loris Benito,                 D,  1.84 m,  b. 7 Jan 1992 @ Aarau

Fabian Schär,                 D,  1.86 m,  b. 20 Dec 1991 @ Wil
Renato Steffen,               M,  1.70 m,  b. 3 Nov 1991 @ Aarau
Xherdan Shaqiri,              M,  1.68 m,  b. 10 Oct 1991 @ Gnjilane
Steven Zuber,                 M,  1.77 m,  b. 17 Aug 1991 @ Winterthur
Mattia Bottani,               M,  1.70 m,  b. 24 May 1991 @ Bern
Joël Mall,                    G,  1.91 m,  b. 5 Apr 1991 @ Baden
Admir Mehmedi,                F,  1.83 m,  b. 16 Mar 1991 @ Gostivar
Fabio Daprelà,                D,  1.80 m,  b. 19 Feb 1991 @ Zürich
Michael Lang,                 D,  1.85 m,  b. 8 Feb 1991 @ Egnach
Anthony Sauthier,             D,  1.84 m,  b. 5 Feb 1991 @ Saxon
Antonio Marchesano,           M,  1.67 m,  b. 18 Jan 1991 @ Bellinzona

Roman Bürki,                  G,  1.85 m,  b. 14 Nov 1990 @ Münsingen
Steve Rouiller,               D,  1.83 m,  b. 10 Jul 1990 @ Monthey
François Moubandje,           D,  1.82 m,  b. 21 Jun 1990 @ Geneva
Luca Zuffi,                   M,  1.80 m,  b. 27 Mar 1990 @ Winterthur
Steven Deana,                 G,  1.88 m,  b. 4 Mar 1990 @ Wetzikon
