=================================
=  Senegal

Mohamed Coulibaly,            F,  1.77 m,  b. 7 Aug 1988 @ Bakel
Ibrahima Niasse,              D,  1.88 m,  b. 18 Apr 1988 @ Nancy
Christophe Diedhiou,          D,  1.91 m,  b. 8 Jan 1988 @ Rufisque

Mame Biram Diouf,             F,  1.85 m,  b. 16 Dec 1987 @ Dakar
Mohamed Diamé,                M,  1.84 m,  b. 14 Jun 1987 @ Créteil
Lamine Sané,                  D,  1.92 m,  b. 22 Mar 1987 @ Villeneuve-sur-Lot
Ousmane Cissokho,             F,  1.75 m,  b. 14 Jan 1987 @ St Louis

Ricardo Faty,                 M,  1.92 m,  b. 4 Aug 1986 @ Villeneuve-St-Georges
Cheick Ndoye,                 M,  1.90 m,  b. 29 Mar 1986 @ Rufisque
Papakouli Diop,               M,  1.79 m,  b. 19 Mar 1986 @ Kaolack
Moussa Sow,                   F,  1.80 m,  b. 19 Jan 1986 @ Mantes-la-Jolie

Papiss Demba Cissé,           F,  1.83 m,  b. 3 Jun 1985 @ Dakar
Demba Ba,                     F,  1.89 m,  b. 25 May 1985 @ Sèvres
Dame N'Doye,                  F,  1.86 m,  b. 21 Feb 1985 @ Thiès

Khadim Ndiaye,                G,  1.72 m,  b. 30 Nov 1984 @ Dakar
