=================================
=  Belgium

David Henen,                  M,  1.85 m,  b. 19 Apr 1996 @ Libramont-Chevigny
Isaac Mbenza,                 M,  1.87 m,  b. 8 Mar 1996 @ Saint-Denis
Jari Vandeputte,              M,  1.74 m,  b. 14 Feb 1996 @ Gent
Gilles Dewaele,               D,  1.82 m,  b. 13 Feb 1996 @ Knokke
Zakaria Bakkali,              M,  1.68 m,  b. 26 Jan 1996 @ Liège

Timothy Castagne,             D,  1.80 m,  b. 5 Dec 1995 @ Aarlen
Timoty Castagne,              D,  1.80 m,  b. 5 Dec 1995 @ Aarlen
Jonathan Okita,               F,  1.80 m,  b. 5 Oct 1995 @ Paris
Dario van den Buijs,          D,  1.82 m,  b. 12 Sep 1995 @ Lier
Youssef Challouk,             M,  1.73 m,  b. 28 Aug 1995 @ Boom
Kylian Hazard,                F,  1.73 m,  b. 5 Aug 1995 @ La Louvière
Wolke Janssens,               D,  1.85 m,  b. 1 Aug 1995 @ Peer
Nick Gillekens,               G,  1.85 m,  b. 5 Jul 1995 @ Leuven
Boli Bolingoli-Mbombo,        D,  1.80 m,  b. 1 Jul 1995 @ Antwerp
Jason Denayer,                D,  1.84 m,  b. 28 Jun 1995 @ Brussels
Tuur Dierckx,                 F,  1.71 m,  b. 9 May 1995 @ Broechem
Anas Tahiri,                  M,  1.79 m,  b. 5 May 1995 @ Brussels
Divock Origi,                 F,  1.85 m,  b. 18 Apr 1995 @ Ostend
Leander Dendoncker,           M,  1.88 m,  b. 15 Apr 1995 @ Passendale
Mathieu Maertens,             M,  1.82 m,  b. 27 Mar 1995
Lucas Pirard,                 G,  1.91 m,  b. 10 Mar 1995 @ Sprimont
Deni Milošević,               M,  1.82 m,  b. 9 Mar 1995
Ali Yaşar,                    D,  1.80 m,  b. 8 Mar 1995 @ Liège
Pieter Gerkens,               M,  1.79 m,  b. 17 Feb 1995 @ Bilzen
Adnan Januzaj,                M,  1.80 m,  b. 5 Feb 1995 @ Brussels

Julien de Sart,               M,  1.86 m,  b. 23 Dec 1994 @ Waremme
Cyriel Dessers,               F,  1.85 m,  b. 8 Dec 1994 @ Leuven
Leandro Trossard,             M,  1.72 m,  b. 4 Dec 1994 @ Waterschei
Benito Raman,                 F,  1.72 m,  b. 7 Nov 1994 @ Gent
Nikola Storm,                 F,  1.78 m,  b. 30 Sep 1994 @ Maldegem
Thomas Foket,                 D,  1.77 m,  b. 25 Sep 1994 @ Brussels
Björn Engels,                 D,  1.93 m,  b. 15 Sep 1994 @ Kaprijke
Jordan Lukaku,                D,  1.88 m,  b. 25 Jul 1994 @ Antwerp
Anthony Limbombe,             F,  1.75 m,  b. 15 Jul 1994 @ Mechelen
Dennis Praet,                 M,  1.81 m,  b. 14 May 1994 @ Leuven
Birger Verstraete,            M,  1.71 m,  b. 16 Apr 1994 @ Ostend
Rob Schoofs,                  M,  1.82 m,  b. 23 Mar 1994 @ Sint-Truiden
Davy Roef,                    G,  1.87 m,  b. 6 Feb 1994 @ Antwerp
Guillaume Hubert,             G,  1.97 m,  b. 11 Jan 1994 @ Charleroi

Mickaël Tirpan,               D,  1.77 m,  b. 23 Oct 1993 @ Anderlecht
Michy Batshuayi,              F,  1.80 m,  b. 2 Oct 1993 @ Brussels
Massimo Bruno,                M,  1.77 m,  b. 17 Sep 1993 @ Boussu
Yannick Ferreira Carrasco,    M,  1.80 m,  b. 4 Sep 1993 @ Elsene
Mats Rits,                    M,  1.80 m,  b. 18 Jul 1993 @ Antwerp
Romelu Lukaku,                F,  1.90 m,  b. 13 May 1993 @ Antwerp
Hendrik van Crombrugge,       G,  1.88 m,  b. 30 Apr 1993 @ Leuven
Hannes Van der Bruggen,       M,  1.80 m,  b. 1 Apr 1993 @ Aalst
Thorgan Hazard,               M,  1.74 m,  b. 29 Mar 1993 @ La Louvière
Brandon Mechele,              D,  1.80 m,  b. 28 Jan 1993 @ Bredene

Pietro Perdichizzi,           D,  1.82 m,  b. 16 Dec 1992 @ Charleroi
Laurens De Bock,              D,  1.79 m,  b. 7 Nov 1992 @ Dendermonde
Thomas Kaminski,              G,  1.88 m,  b. 23 Oct 1992 @ Dendermonde
Laurent Henkinet,             G,  1.89 m,  b. 14 Sep 1992 @ Rocourt
Hans Vanaken,                 M,  1.85 m,  b. 24 Aug 1992 @ Akselwal
Tom Vandenberghe,             G,  1.90 m,  b. 17 Aug 1992
Colin Coosemans,              G,  1.85 m,  b. 3 Aug 1992 @ Gent
Viktor Klonaridis,            F,  1.79 m,  b. 28 Jul 1992 @ Seraing
