=================================
=  England

Jacob Slater,                 D,  - ,      b. 5 Oct 2004
Kaide Gordon,                 F,  - ,      b. 5 Oct 2004 @ Burton upon Trent
Alex Matos,                   F,  - ,      b. 3 Oct 2004 @ Bedford
Maxwell McKnight,             D,  - ,      b. 3 Oct 2004 @ Colchester
Gideon Kodua,                 F,  - ,      b. 2 Oct 2004 @ Newham
Jimi Gower,                   M,  - ,      b. 1 Oct 2004 @ Havering
Daniel Gore,                  M,  - ,      b. 26 Sep 2004
Billy Bates,                  D,  - ,      b. 25 Sep 2004 @ Cheshunt
Sam Murray,                   D,  - ,      b. 25 Sep 2004
Hugo Fisher,                  G,  - ,      b. 24 Sep 2004 @ Bojnice
Detlef Esapa Osong,           F,  - ,      b. 21 Sep 2004
Mason Terry,                  G,  - ,      b. 20 Sep 2004 @ Southend-on-Sea
Francis Okoronkwo,            F,  - ,      b. 18 Sep 2004 @ Blyth
Jadel Katongo,                D,  - ,      b. 14 Sep 2004 @ Manchester
Marvin Kaleta,                D,  - ,      b. 14 Sep 2004 @ Manchester
Tommy Pilling,                F,  - ,      b. 14 Sep 2004 @ St Helens
James McConnell,              M,  - ,      b. 13 Sep 2004 @ Newcastle upon Tyne
Sydie Peck,                   M,  - ,      b. 13 Sep 2004 @ Enfield
Sean Tarima,                  D,  - ,      b. 12 Sep 2004 @ Newham
Terence Miles,                D,  - ,      b. 12 Sep 2004 @ Liverpool
Richard Olise,                D,  - ,      b. 9 Sep 2004 @ Hillingdon
Daniel Ogwuru,                F,  - ,      b. 8 Sep 2004 @ Manchester
Lewis Hall,                   D,  1.79 m,  b. 8 Sep 2004 @ Slough
Aaron Bott,                   G,  - ,      b. 6 Sep 2004 @ Mansfield
Jaden Williams,               F,  - ,      b. 6 Sep 2004 @ Harrow
Jenson Metcalfe,              M,  - ,      b. 6 Sep 2004 @ Wigan
Owen Farmer,                  F,  - ,      b. 6 Sep 2004 @ Solihull
George Earthy,                M,  - ,      b. 5 Sep 2004 @ Havering
Harvey Araujo,                D,  - ,      b. 3 Sep 2004
Sam Mather,                   F,  - ,      b. 3 Sep 2004 @ Salford
Jamie Bynoe-Gittens,          F,  1.75 m,  b. 8 Aug 2004 @ Reading
Victor Akinwale,              F,  - ,      b. 6 Aug 2004 @ Greenwich
Elijah Campbell,              D,  - ,      b. 2 Aug 2004 @ Manchester
Alfie Devine,                 M,  - ,      b. 1 Aug 2004 @ Warrington
Charles Sagoe Junior,         F,  - ,      b. 24 Jul 2004 @ Kingston upon Thames
Kyle Crossley,                F,  - ,      b. 24 Jul 2004 @ Sunderland
Omari Forson,                 M,  - ,      b. 20 Jul 2004
Frankie Ealing,               D,  1.76 m,  b. 14 Jul 2004 @ Birmingham
Lee Jonas,                    D,  - ,      b. 6 Jul 2004 @ Liverpool
Luke Chambers,                D,  - ,      b. 24 Jun 2004 @ Preston
Zak Sturge,                   D,  - ,      b. 15 Jun 2004 @ Hillingdon
Pharrell Johnson,             D,  - ,      b. 19 May 2004
James Clarridge,              D,  - ,      b. 8 May 2004 @ Mansfield
Oliver Arblaster,             M,  1.80 m,  b. 5 May 2004 @ Sheffield
Michael Olakigbe,             F,  - ,      b. 25 Apr 2004 @ Lambeth
Junior Robinson,              D,  - ,      b. 6 Apr 2004 @ Bethnal Green
Ethan McLeod,                 F,  - ,      b. 1 Apr 2004 @ Birmingham
Charlie Sayers,               D,  - ,      b. 29 Mar 2004
Stefan Parkes,                D,  - ,      b. 28 Mar 2004 @ Brent
Dane Scarlett,                F,  1.80 m,  b. 24 Mar 2004 @ Hillingdon
Antwoine Hackford,            F,  - ,      b. 20 Mar 2004 @ Sheffield
James Huntley,                M,  - ,      b. 2 Mar 2004
Joseph Whitworth,             G,  - ,      b. 29 Feb 2004 @ Sutton
Mathew Mallon,                D,  - ,      b. 25 Feb 2004 @ Liverpool
Jordan Hackett,               D,  - ,      b. 20 Feb 2004 @ Hammersmith
Jack Wells-Morrison,          M,  - ,      b. 18 Feb 2004 @ Wandsworth
Alfie Pond,                   D,  1.91 m,  b. 17 Feb 2004 @ Exeter
Adam Wharton,                 M,  1.82 m,  b. 6 Feb 2004 @ Blackburn
Shola Shoretire,              F,  - ,      b. 2 Feb 2004 @ Newcastle upon Tyne
Jacob Knightbridge,           G,  - ,      b. 25 Jan 2004 @ Romford
Roshaun Mathurin,             M,  - ,      b. 23 Jan 2004 @ Leytonstone
Jamie Miley,                  M,  - ,      b. 14 Jan 2004 @ Gateshead
Ben Chrisene,                 D,  1.83 m,  b. 12 Jan 2004 @ Exeter
Brooke Norton-Cuffy,          D,  1.81 m,  b. 12 Jan 2004 @ Hammersmith
Jude Soonsup-Bell,            F,  - ,      b. 10 Jan 2004 @ Chippenham
Benicio Baker-Boaitey,        F,  - ,      b. 9 Jan 2004 @ Hammersmith
Kam Kandola,                  D,  - ,      b. 3 Jan 2004 @ Wolverhampton
Toby Collyer,                 M,  - ,      b. 3 Jan 2004 @ Worthing

Jay Turner-Cook,              M,  - ,      b. 31 Dec 2003 @ South Shields
Oliver Sanderson,             F,  1.86 m,  b. 30 Dec 2003 @ Chichester
Taylor-Jay Hart,              M,  - ,      b. 18 Dec 2003
Joe Sheridan,                 D,  - ,      b. 10 Dec 2003
Kian Breckin,                 M,  - ,      b. 10 Dec 2003 @ Manchester
