=================================
=  Norway

Runar Hauge,                  F,  1.76 m,  b. 1 Sep 2001 @ Bodø
Oskar Aron Opsahl,            D,  1.78 m,  b. 25 Aug 2001 @ Oslo
Hasan Jahić,                  D,  1.75 m,  b. 30 Jul 2001 @ Fredrikstad
Aune Heggebø,                 F,  1.85 m,  b. 29 Jul 2001 @ Bergen
Fredrik Holmé,                D,  1.90 m,  b. 23 Jul 2001 @ Oslo
Magnus Bækken,                F,  1.77 m,  b. 20 Jul 2001 @ Gol
Mathias Kjølø,                M,  1.74 m,  b. 27 Jun 2001 @ Oslo
Magnus Knudsen,               M,  1.83 m,  b. 15 Jun 2001 @ Oslo
Erik Stavas Skistad,          M,  - ,      b. 12 Jun 2001
Osame Sahraoui,               M,  1.64 m,  b. 11 Jun 2001 @ Oslo
Einar Iversen,                M,  - ,      b. 6 Jun 2001
Adrian Sæther,                G,  1.97 m,  b. 1 Jun 2001 @ Valsøyfjord
Erik Ansok Frøysa,            D,  1.94 m,  b. 31 May 2001 @ Oslo
Marcus Andersen,              G,  - ,      b. 29 May 2001
Sondre Fosnæss Hanssen,       D,  1.86 m,  b. 25 May 2001 @ Drammen
Sturla Ottesen,               D,  1.77 m,  b. 25 May 2001
Noah Holm,                    F,  1.86 m,  b. 23 May 2001 @ Drammen
Aaron Kiil Olsen,             D,  1.83 m,  b. 20 May 2001
Marius Olsen,                 D,  1.90 m,  b. 14 May 2001
Kornelius Hansen,             M|F,1.75 m,  b. 6 May 2001 @ Larvik
Josef Brian Baccay,           D,  1.78 m,  b. 29 Apr 2001 @ Oslo
Sander Christiansen,          M,  1.85 m,  b. 29 Apr 2001 @ Bergen
Syver Skaar Eriksen,          D,  1.70 m,  b. 29 Apr 2001 @ Kongsberg
Trym Sølvberg Ur,             G,  1.88 m,  b. 27 Apr 2001
Rasmus Sandberg,              G,  1.87 m,  b. 23 Apr 2001 @ Trondheim
Henrik Heggheim,              D,  1.86 m,  b. 22 Apr 2001 @ Stavanger
Thomas Rekdal,                M,  1.79 m,  b. 16 Mar 2001 @ Wetteren
Joshua Kitolano,              M,  1.70 m,  b. 8 Mar 2001 @ Uvira
Lars Markmanrud,              D,  1.80 m,  b. 1 Mar 2001 @ Sandefjord
Bjørn Mæland,                 D,  1.84 m,  b. 24 Feb 2001 @ Porsgrunn
Marcus Melchior,              M,  1.70 m,  b. 9 Feb 2001 @ Oslo
Sondre Langås,                D,  1.87 m,  b. 2 Feb 2001 @ Namsos
Jonas Lange Hjorth,           D,  1.77 m,  b. 30 Jan 2001 @ Ski
Rasmus Vinge,                 F,  - ,      b. 28 Jan 2001
Edvard Tagseth,               M,  1.71 m,  b. 23 Jan 2001 @ Levanger
Erik Asante Gayi,             M,  1.85 m,  b. 23 Jan 2001
Ole Martin Kolskogen,         D,  1.87 m,  b. 20 Jan 2001 @ Os
Ask Tjærandsen-Skau,          M,  1.75 m,  b. 14 Jan 2001 @ Bodø
Kristoffer Askildsen,         M,  1.90 m,  b. 9 Jan 2001 @ Oslo
Oscar Aga,                    F,  1.80 m,  b. 6 Jan 2001 @ Oslo
Harald Tangen,                M,  1.77 m,  b. 2 Jan 2001 @ Stavanger
Leo Cornic,                   D,  1.76 m,  b. 2 Jan 2001 @ Oslo

Filip Delaveris,              F,  1.80 m,  b. 10 Dec 2000 @ Oslo
Sander Risan Mørk,            M,  1.85 m,  b. 6 Dec 2000 @ Tønsberg
Kristoffer Klaesson,          G,  1.89 m,  b. 27 Nov 2000 @ Oslo
Franklin Nyenetue,            F,  1.78 m,  b. 16 Nov 2000 @ Stjørdal
Philip Slördahl,              D,  - ,      b. 14 Nov 2000
Warren Kamanzi,               D,  1.70 m,  b. 11 Nov 2000 @ Trondheim
Andreas Olsvoll,              G,  1.94 m,  b. 30 Oct 2000 @ Kristiansand
August Mikkelsen,             M,  1.70 m,  b. 24 Oct 2000 @ Tromsø
Mads Christiansen,            G,  - ,      b. 21 Oct 2000
Vetle Skjærvik,               D,  1.84 m,  b. 15 Sep 2000 @ Lillehammer
Johan Hove,                   M,  1.77 m,  b. 7 Sep 2000 @ Sogndal
Jonatan Braut Brunes,         F,  1.88 m,  b. 7 Aug 2000 @ Bryne
Simen Hammershaug,            F,  1.83 m,  b. 2 Aug 2000 @ Lillehammer
Markus Solbakken,             M,  1.82 m,  b. 25 Jul 2000 @ Hamar
Aleksander Stenseth,          F,  1.86 m,  b. 23 Jul 2000
Erling Håland,                F,  1.91 m,  b. 21 Jul 2000 @ Leeds
Marcus Holmgren Pedersen,     D,  1.78 m,  b. 16 Jul 2000 @ Hammerfest
Martin André Sjølstad,        D,  1.80 m,  b. 9 Jul 2000 @ Drøbak
George Lewis,                 F,  1.70 m,  b. 16 Jun 2000 @ Kigali
Ole Didrik Blomberg,          D|F,1.77 m,  b. 12 Jun 2000 @ Bergen
Emil Breivik,                 D|M,1.80 m,  b. 11 Jun 2000
