=================================
=  Netherlands

Colin Odutayo,                F,  - ,      b. 8 Mar 2001 @ Roermond
Joey Kesting,                 G,  1.86 m,  b. 7 Mar 2001 @ Woubrugge
Damian Timan,                 M,  1.79 m,  b. 5 Mar 2001 @ Nieuw-Vennep
Vincent Schippers,            D,  1.82 m,  b. 4 Mar 2001 @ Vlaardingen
Remco Balk,                   F,  1.73 m,  b. 2 Mar 2001 @ Zuidhorn
Turan Tuzlacik,               M,  1.76 m,  b. 2 Mar 2001 @ Den Haag
Enrico Hernández,             F,  1.79 m,  b. 23 Feb 2001
Wouter Burger,                M,  1.90 m,  b. 16 Feb 2001 @ Zuid-Beijerland
Quiermo Dumay,                M,  1.81 m,  b. 10 Feb 2001 @ Apeldoorn
Luca Everink,                 D,  1.79 m,  b. 9 Feb 2001 @ Diepenveen
Eros Maddy,                   F,  1.77 m,  b. 5 Feb 2001 @ Woerden
Daishawn Redan,               F,  1.76 m,  b. 2 Feb 2001 @ Amsterdam
Casper Staring,               M,  1.86 m,  b. 1 Feb 2001 @ Barneveld
Myron Boadu,                  F,  1.80 m,  b. 14 Jan 2001 @ Amsterdam
Nigel Langras,                D,  1.93 m,  b. 13 Jan 2001 @ Breda
Rein Smit,                    F,  1.83 m,  b. 5 Jan 2001 @ Castricum
Yassin Oukili,                M,  1.95 m,  b. 3 Jan 2001 @ Amersfoort
Ennio van der Gouw,           G,  1.95 m,  b. 1 Jan 2001 @ Stockport

Jeremie Frimpong,             D,  1.75 m,  b. 10 Dec 2000 @ Amsterdam
Anthony Musaba,               F,  1.82 m,  b. 6 Dec 2000 @ Beuningen
Richie Musaba,                M,  1.77 m,  b. 6 Dec 2000 @ Nijmegen
Kaj de Rooij,                 F,  1.76 m,  b. 25 Nov 2000 @ Best
Ilounga Pata,                 D,  1.79 m,  b. 12 Nov 2000 @ Philipsburg
Saïd Hamulic,                 F,  1.89 m,  b. 12 Nov 2000 @ Leiderdorp
Nelson Amadin,                F,  1.86 m,  b. 31 Oct 2000 @ Rotterdam
Eliano Reijnders,             F,  1.68 m,  b. 23 Oct 2000 @ Zwolle
Stan van Dijck,               D,  1.93 m,  b. 7 Oct 2000 @ Venray
Mark Pabai,                   D,  1.89 m,  b. 30 Sep 2000 @ Wijk bij Duurstede
Cas Odenthal,                 D,  1.90 m,  b. 26 Sep 2000 @ Leersum
Simon Janssen,                M,  1.79 m,  b. 25 Sep 2000 @ Venlo
Justen Kranthove,             D,  1.92 m,  b. 19 Sep 2000 @ Amsterdam
Milan van Ewijk,              D,  1.75 m,  b. 8 Sep 2000 @ Amsterdam
Jasper Schendelaar,           G,  1.87 m,  b. 2 Sep 2000 @ Alkmaar
Noah Lewis,                   D,  1.94 m,  b. 23 Aug 2000 @ Almere
Thijs Dallinga,               F,  1.80 m,  b. 3 Aug 2000 @ Groningen
Chardi Landu,                 F,  - ,      b. 18 Jul 2000
Lutsharel Geertruida,         D,  1.80 m,  b. 18 Jul 2000 @ Rotterdam
Mike Eerdhuijzen,             D,  1.91 m,  b. 13 Jul 2000 @ Volendam
Richonell Margaret,           F,  1.88 m,  b. 7 Jul 2000 @ Heerhugowaard
Daniël van Kaam,              M,  1.75 m,  b. 23 Jun 2000 @ Delfzijl
