=================================
=  Spain

Alassan,                      M,  1.77 m,  b. 12 Sep 2002 @ Santa Cruz de Tenerife
Matías Árbol,                 G,  - ,      b. 12 Sep 2002 @ Palomares del Río
Javi Llabrés,                 F,  1.74 m,  b. 11 Sep 2002 @ Inca
Fran Pérez,                   F,  1.76 m,  b. 9 Sep 2002 @ Valencia
Antoniu Roca,                 F,  - ,      b. 5 Sep 2002
Mario Sesè,                   F,  1.78 m,  b. 30 Aug 2002 @ Quart de Poblet
Óscar Carrasco,               M,  - ,      b. 28 Aug 2002
Gerard Yepes,                 M,  1.70 m,  b. 25 Aug 2002 @ Barcelona
José Menor,                   F,  - ,      b. 20 Aug 2002 @ Burgos
Iker Benito,                  F,  1.76 m,  b. 10 Aug 2002 @ Miranda de Ebro
Ale Gorrín,                   G,  - ,      b. 8 Aug 2002
Alejandro Francés,            D,  1.80 m,  b. 1 Aug 2002 @ Zaragoza
Cacho,                        F,  - ,      b. 31 Jul 2002 @ Santa Cruz de Tenerife
Víctor Rofino,                D,  1.85 m,  b. 28 Jul 2002 @ Madrid
Alberto Dadie,                M,  1.70 m,  b. 20 Jul 2002 @ San Sebastián
Nico Williams,                F,  1.81 m,  b. 12 Jul 2002 @ Pamplona
David Guerrero,               D,  1.88 m,  b. 5 Jul 2002 @ Caravaca
Mario Jorrín,                 D,  1.80 m,  b. 28 Jun 2002 @ Santander
Aitor Gelardo,                M,  1.77 m,  b. 26 Jun 2002 @ Catral
Lalo Aguilar,                 D,  1.88 m,  b. 11 Jun 2002 @ Madrid
Naim García,                  M,  1.80 m,  b. 11 Jun 2002 @ Madrid
Ethyan González,              F,  1.85 m,  b. 6 Jun 2002 @ Santa Cruz de Tenerife
Mario de Luis,                G,  1.84 m,  b. 5 Jun 2002 @ Madrid
Gabri Veiga,                  M,  1.84 m,  b. 27 May 2002 @ Porriño
Daniel Queipo,                F,  1.68 m,  b. 22 May 2002 @ Oviedo
Rafa Marín,                   D,  1.91 m,  b. 19 May 2002 @ Guadajoz
Diego López,                  F,  1.72 m,  b. 13 May 2002 @ Turón
Asier,                        M,  - ,      b. 10 May 2002 @ Miranda de Ebro
Lucas Cañizares,              G,  1.86 m,  b. 10 May 2002 @ Valencia
Cristian Acerete,             F,  1.74 m,  b. 5 May 2002 @ Gijón
Ekhiotz Orobio,               M,  1.82 m,  b. 5 May 2002 @ Vitoria-Gasteiz
Pablo Moreno,                 F,  1.78 m,  b. 3 May 2002 @ Granada
Óscar Aranda,                 M,  1.81 m,  b. 29 Apr 2002 @ Granada
Pablo Campos,                 G,  1.88 m,  b. 28 Apr 2002 @ Valencia
Kike Salas,                   D,  1.86 m,  b. 23 Apr 2002 @ Morón de la Frontera
Carlos Martín,                F,  1.80 m,  b. 22 Apr 2002 @ Madrid
Mario Soriano,                M,  1.63 m,  b. 22 Apr 2002 @ Alcalá de Henares
Robert Navarro,               M,  1.78 m,  b. 12 Apr 2002 @ Barcelona
Álvaro Carrillo,              D,  1.80 m,  b. 6 Apr 2002 @ Murcia
Víctor Parada,                D,  1.87 m,  b. 4 Apr 2002 @ Madrid
Rubén Quintanilla,            M,  1.80 m,  b. 3 Apr 2002 @ Barcelona
Joel López,                   D,  1.79 m,  b. 31 Mar 2002 @ Barcelona
Pere Joan,                    G,  1.88 m,  b. 22 Mar 2002 @ Can Picafort
Pedro Alemañ,                 M,  1.80 m,  b. 21 Mar 2002 @ Elche
Nacho Martín,                 M,  1.75 m,  b. 19 Mar 2002 @ Oviedo
Unai Eguíluz,                 D,  1.86 m,  b. 19 Mar 2002 @ Durango
Pol Tristán,                  G,  1.88 m,  b. 18 Mar 2002 @ Barcelona
Diego Bartolomé,              M,  - ,      b. 16 Mar 2002 @ Logroño
Germán Valera,                F,  1.70 m,  b. 16 Mar 2002 @ Murcia
Yadam Santana,                M,  1.72 m,  b. 14 Mar 2002 @ Las Palmas
Mada,                         M,  - ,      b. 11 Mar 2002 @ Berango
José Marsà,                   D,  1.83 m,  b. 4 Mar 2002 @ Esplugues de Llobregat
César Tárrega,                D,  1.93 m,  b. 26 Feb 2002 @ Valencia
Gerard Martín,                D,  1.86 m,  b. 26 Feb 2002 @ Esplugues de Llobregat
